date,gnh
2020-01-01,7.792715
2020-01-02,6.844765
2020-01-03,6.698515
2020-01-04,6.565365
2020-01-05,6.654455
2020-01-06,6.775265
2020-01-07,7.085775
2020-01-08,7.124735
2020-01-09,7.018025
2020-01-10,7.164905
2020-01-11,7.373915
2020-01-12,7.142685
2020-01-13,7.063585
2020-01-14,7.076435
2020-01-15,7.136735
2020-01-16,7.230455
2020-01-17,7.376715
2020-01-18,7.532645
2020-01-19,7.232695
2020-01-20,7.068835
2020-01-21,7.223445
2020-01-22,7.204935
2020-01-23,6.943725
2020-01-24,7.227525
2020-01-25,7.522185
2020-01-26,7.830035
2020-01-27,6.441965
2020-01-28,7.113155
2020-01-29,7.140755
2020-01-30,7.270345
2020-01-31,7.118525
2020-02-01,7.272325
2020-02-02,7.078385
2020-02-03,7.045625
2020-02-04,7.266105
2020-02-05,7.357735
2020-02-06,7.400045
2020-02-07,7.421225
2020-02-08,7.486245
2020-02-09,7.215295
2020-02-10,7.314475
2020-02-11,7.505775
2020-02-12,7.496695
2020-02-13,7.561625
2020-02-14,7.823515
2020-02-15,7.676215
2020-02-16,7.502665
2020-02-17,7.274055
2020-02-18,7.346595
2020-02-19,7.245185
2020-02-20,7.202955
2020-02-21,7.422615
2020-02-22,7.662465
2020-02-23,7.377095
2020-02-24,7.341035
2020-02-25,7.210915
2020-02-26,7.234185
2020-02-27,7.353725
2020-02-28,7.549125
2020-02-29,7.662775
2020-03-01,7.38
2020-03-02,7.162655
2020-03-03,7.077655
2020-03-04,6.894795
2020-03-05,6.990075
2020-03-06,7.435485
2020-03-07,7.326475
2020-03-08,7.579405
2020-03-09,7.162145
2020-03-10,6.892085
2020-03-11,7.037775
2020-03-12,6.898265
2020-03-13,6.523385
2020-03-14,7.007585
2020-03-15,6.889465
2020-03-16,6.461865
2020-03-17,6.501895
2020-03-18,6.628795
2020-03-19,6.767795
2020-03-20,6.928805
2020-03-21,7.011075
2020-03-22,6.546425
2020-03-23,6.504835
2020-03-24,6.466805
2020-03-25,6.874875
2020-03-26,6.859715
2020-03-27,7.071425
2020-03-28,7.193515
2020-03-29,6.990075
2020-03-30,6.845405
2020-03-31,7.014445
2020-04-01,7.095625
2020-04-02,7.216745
2020-04-03,7.256265
2020-04-04,7.293545
2020-04-05,7.344595
2020-04-06,7.218215
2020-04-07,7.072375
2020-04-08,7.295975
2020-04-09,7.356885
2020-04-10,7.546275
2020-04-11,7.514145
2020-04-12,7.476085
2020-04-13,7.406175
2020-04-14,7.093175
2020-04-15,7.278195
2020-04-16,7.318475
2020-04-17,7.365385
2020-04-18,7.348535
2020-04-19,7.439895
2020-04-20,7.182955
2020-04-21,7.195715
2020-04-22,7.255435
2020-04-23,7.422035
2020-04-24,7.432565
2020-04-25,7.483695
2020-04-26,7.415785
2020-04-27,7.364085
2020-04-28,7.316865
2020-04-29,7.239545
2020-04-30,7.363105
2020-05-01,7.408845
2020-05-02,7.443625
2020-05-03,7.350795
2020-05-04,7.270785
2020-05-05,7.285955
2020-05-06,7.239045
2020-05-07,7.333625
2020-05-08,7.547115
2020-05-09,7.466415
2020-05-10,7.543435
2020-05-11,7.041115
2020-05-12,7.211325
2020-05-13,7.398425
2020-05-14,7.304085
2020-05-15,7.523245
2020-05-16,7.600505
2020-05-17,7.519075
2020-05-18,7.239865
2020-05-19,7.356765
2020-05-20,7.360235
2020-05-21,7.531835
2020-05-22,7.305095
2020-05-23,7.325545
2020-05-24,7.412385
2020-05-25,7.209965
2020-05-26,7.206295
2020-05-27,7.342615
2020-05-28,7.178855
2020-05-29,7.258695
2020-05-30,7.177095
2020-05-31,7.018055
2020-06-01,6.970075
2020-06-02,6.930995
2020-06-03,7.000325
2020-06-04,7.162535
2020-06-05,7.253155
2020-06-06,7.295675
2020-06-07,7.219635
2020-06-08,7.263805
2020-06-09,7.294455
2020-06-10,7.404525
2020-06-11,7.280115
2020-06-12,7.331795
2020-06-13,7.424575
2020-06-14,7.254265
2020-06-15,7.239985
2020-06-16,7.412155
2020-06-17,7.433265
2020-06-18,7.237295
2020-06-19,7.241815
2020-06-20,7.308515
2020-06-21,7.109045
2020-06-22,7.293465
2020-06-23,7.398315
2020-06-24,7.326315
2020-06-25,7.217505
2020-06-26,7.531275
2020-06-27,7.394475
2020-06-28,7.262665
2020-06-29,7.327805
2020-06-30,7.265885
2020-07-01,7.350715
2020-07-02,7.353735
2020-07-03,7.342195
2020-07-04,7.472295
2020-07-05,7.359155
2020-07-06,7.142245
2020-07-07,6.945145
2020-07-08,7.244335
2020-07-09,7.333335
2020-07-10,7.309545
2020-07-11,7.314695
2020-07-12,7.186545
2020-07-13,7.179405
2020-07-14,6.971305
2020-07-15,7.312195
2020-07-16,7.297705
2020-07-17,7.451905
2020-07-18,7.442075
2020-07-19,7.342665
2020-07-20,7.141525
2020-07-21,7.265805
2020-07-22,7.239805
2020-07-23,7.198835
2020-07-24,7.357645
2020-07-25,7.303825
2020-07-26,7.114475
2020-07-27,7.122395
2020-07-28,7.284735
2020-07-29,7.266115
2020-07-30,7.104705
2020-07-31,7.354115
2020-08-01,7.299225
2020-08-02,7.049885
2020-08-03,7.074995
2020-08-04,7.164725
2020-08-05,6.993025
2020-08-06,7.323945
2020-08-07,7.224185
2020-08-08,7.303265
2020-08-09,7.283685
2020-08-10,7.307695
2020-08-11,7.265905
2020-08-12,7.434665
2020-08-13,7.310805
2020-08-14,7.332975
2020-08-15,7.258235
2020-08-16,7.294085
2020-08-17,7.200895
2020-08-18,7.245985
2020-08-19,7.465735
2020-08-20,7.215695
2020-08-21,7.364765
2020-08-22,7.358845
2020-08-23,7.312865
2020-08-24,7.146695
2020-08-25,7.287835
2020-08-26,7.292945
2020-08-27,7.177005
2020-08-28,7.411695
2020-08-29,6.986035
2020-08-30,7.316185
2020-08-31,7.216525
2020-09-01,7.233245
2020-09-02,7.341735
2020-09-03,7.185285
2020-09-04,7.146005
2020-09-05,7.317825
2020-09-06,7.204375
2020-09-07,7.176205
2020-09-08,7.167045
2020-09-09,7.395345
2020-09-10,7.176485
2020-09-11,7.276015
2020-09-12,7.337235
2020-09-13,7.391305
2020-09-14,7.258015
2020-09-15,7.389585
2020-09-16,7.459445
2020-09-17,7.441295
2020-09-18,7.504295
2020-09-19,7.235645
2020-09-20,7.157085
2020-09-21,7.300685
2020-09-22,7.210305
2020-09-23,7.291275
2020-09-24,6.992965
2020-09-25,7.425305
2020-09-26,7.422215
2020-09-27,7.356425
2020-09-28,7.309035
2020-09-29,7.404595
2020-09-30,7.304845
2020-10-01,7.444895
2020-10-02,7.388735
2020-10-03,7.385455
2020-10-04,7.395915
2020-10-05,7.080395
2020-10-06,6.988045
2020-10-07,7.164335
2020-10-08,7.384225
2020-10-09,7.465955
2020-10-10,7.271275
2020-10-11,7.259505
2020-10-12,7.169895
2020-10-13,7.227015
2020-10-14,7.406115
2020-10-15,7.310435
2020-10-16,7.346975
2020-10-17,7.551175
2020-10-18,7.301695
2020-10-19,7.275975
2020-10-20,7.306055
2020-10-21,7.465265
2020-10-22,7.372405
2020-10-23,7.419305
2020-10-24,7.280755
2020-10-25,7.000935
2020-10-26,7.184255
2020-10-27,7.344415
2020-10-28,7.453935
2020-10-29,7.363075
2020-10-30,7.596435
2020-10-31,7.425585
2020-11-01,7.436845
2020-11-02,7.119765
2020-11-03,7.324725
2020-11-04,6.932615
2020-11-05,7.225085
2020-11-06,7.354825
2020-11-07,7.346445
2020-11-08,7.515515
2020-11-09,7.248415
2020-11-10,7.243985
2020-11-11,7.311505
2020-11-12,7.324395
2020-11-13,7.481225
2020-11-14,7.698175
2020-11-15,7.382205
2020-11-16,7.052375
2020-11-17,7.258905
2020-11-18,7.146775
2020-11-19,7.337905
2020-11-20,7.344955
2020-11-21,7.534775
2020-11-22,7.406715
2020-11-23,7.205615
2020-11-24,7.437835
2020-11-25,7.420795
2020-11-26,7.308895
2020-11-27,7.633355
2020-11-28,7.565165
2020-11-29,7.185445
2020-11-30,7.088525
2020-12-01,7.266645
2020-12-02,7.478635
2020-12-03,7.525445
2020-12-04,7.647535
2020-12-05,7.502055
2020-12-06,7.371285
2020-12-07,7.274295
2020-12-08,7.382735
2020-12-09,7.577245
2020-12-10,7.444305
2020-12-11,7.555255
2020-12-12,7.592125
2020-12-13,7.417685
2020-12-14,7.260995
2020-12-15,7.360295
2020-12-16,7.549855
2020-12-17,7.416605
2020-12-18,7.207605
2020-12-19,7.194445
2020-12-20,7.069715
2020-12-21,7.140725
2020-12-22,7.373305
2020-12-23,7.619575
2020-12-24,7.848555
2020-12-25,8.536465
2020-12-26,7.552065
2020-12-27,7.155675
2020-12-28,7.116455
2020-12-29,7.236885
2020-12-30,7.325695
2020-12-31,7.794325
